file,total_background_rate,solar_elevation,classification,solar_background_rate
processed_ATL03_20200103231215_01260602_006_01.h5,2693.2626911948337,-14.366390228271484,Nighttime,
processed_ATL03_20200120221315_03850602_006_01.h5,13806.160938730458,-3.189083235595707,Twilight,0.0
processed_ATL03_20200123102047_04230606_006_01.h5,40221.2978331275,-20.771891516072188,Nighttime,
processed_ATL03_20200127101229_04840606_006_01.h5,53756.80956395094,-22.627933479509,Nighttime,
processed_ATL03_20200128215639_05070602_006_01.h5,359099.1436096114,3.0444767585617476,Twilight,227345.78169107437
processed_ATL03_20200201214818_05680602_006_01.h5,529435.552229354,5.779487614282246,Twilight,329867.47343444824
processed_ATL03_20200218204918_08270602_006_01.h5,1184736.9505547313,17.405200287505618,Daytime,1666541.374866092
processed_ATL03_20200221085649_08650606_006_01.h5,22374.124763767093,-32.0131039217493,Nighttime,
processed_ATL03_20200222204059_08880602_006_01.h5,688033.4751943491,20.51920772131919,Daytime,1861048.2517014507
processed_ATL03_20200225084829_09260606_006_01.h5,38114.72681797276,-33.27572123209635,Nighttime,
processed_ATL03_20200226203238_09490602_006_01.h5,4792078.4466824625,23.537683123633975,Daytime,2049588.014623465
processed_ATL03_20200229084009_09870606_006_01.h5,26127.755282484995,-34.3192597084936,Nighttime,
processed_ATL03_20200301202417_10100602_006_01.h5,889223.9040683447,26.674097898949583,Daytime,2245494.4969852646
processed_ATL03_20200305201556_10710602_006_01.h5,3788257.105734832,30.298559347788494,Daytime,2471885.310625827
processed_ATL03_20200318192523_12690602_006_01.h5,1351106.399095953,37.82273376543905,Daytime,2941859.6757638804
processed_ATL03_20200322191701_13300602_006_01.h5,4055652.4726818614,40.80553877688595,Daytime,3128171.3976581595
processed_ATL03_20200325072428_13680606_006_01.h5,276003.2899430346,-38.01975886027018,Nighttime,
processed_ATL03_20200326190838_00040702_006_01.h5,1214166.848817978,44.136398494099446,Daytime,3336223.2840271275
processed_ATL03_20200329071609_00420706_006_01.h5,40921.18564560988,-38.085152261671595,Nighttime,
processed_ATL03_20200330190017_00650702_006_01.h5,2897362.4389916896,47.033739194511774,Daytime,3517196.7411376704
processed_ATL03_20200403185200_01260702_006_03.h5,1422029.572889437,50.41658441740958,Daytime,3728495.7418974275
processed_ATL03_20200416180123_03240702_006_02.h5,1212471.3817819578,56.88941257443048,Daytime,4132801.003164019
processed_ATL03_20200419060855_03620706_006_02.h5,11336.364038336214,-36.11201312276911,Nighttime,
processed_ATL03_20200420175305_03850702_006_02.h5,8790328.564517578,59.43912149047851,Daytime,4292060.7122818045
processed_ATL03_20200423060037_04230706_006_02.h5,13875.464784802263,-36.77773346454934,Nighttime,
processed_ATL03_20200424174447_04460702_006_02.h5,11769916.10352509,62.44312992182514,Daytime,4479696.84045018
processed_ATL03_20200427055215_04840706_006_02.h5,24467.29998703863,-37.28700614391692,Nighttime,
processed_ATL03_20200428173625_05070702_006_02.h5,5890936.079037134,64.92542139996337,Daytime,4634745.527092652
processed_ATL03_20200501054353_05450706_006_01.h5,27995.160394601022,-35.154712923723665,Nighttime,
processed_ATL03_20200502172804_05680702_006_01.h5,1858938.9999125663,66.71920158729003,Daytime,4746788.477978858
processed_ATL03_20200514045317_07430706_006_01.h5,101200.1387867376,-33.12479663476581,Nighttime,
processed_ATL03_20200515163727_07660702_006_01.h5,4029271.209775364,70.89727247756439,Daytime,5007758.799128272
processed_ATL03_20200518044459_08040706_006_01.h5,21390.274746852945,-32.48489073114458,Nighttime,
processed_ATL03_20200519162909_08270702_006_01.h5,11263527.80896702,71.30119411230662,Daytime,5032988.519136913
processed_ATL03_20200522043639_08650706_006_01.h5,27726.586265306785,-30.78756402104017,Nighttime,
processed_ATL03_20200523162049_08880702_006_01.h5,2394186.0851803604,71.34785883815056,Daytime,5035903.287413869
processed_ATL03_20200526042817_09260706_006_01.h5,192063.31330177086,-30.286723850078406,Nighttime,
processed_ATL03_20200527161228_09490702_006_01.h5,3866876.0375585253,70.91486510319069,Daytime,5008857.668266717
processed_ATL03_20200530041958_09870706_006_01.h5,14797.137764492889,-28.866483673855846,Nighttime,
processed_ATL03_20200531160408_10100702_006_01.h5,2673537.075175427,69.99713837967872,Daytime,4951534.696959596
processed_ATL03_20200608033738_11240706_006_01.h5,34564.247899867914,-27.469124403873938,Nighttime,
processed_ATL03_20200609152147_11470702_006_01.h5,1473215.054213498,66.15265682069996,Daytime,4711401.005251505
processed_ATL03_20200612032917_11850706_006_01.h5,38634.13533752579,-26.62868586505384,Nighttime,
processed_ATL03_20200613151327_12080702_006_01.h5,6435067.604220629,64.68456579542953,Daytime,4619701.224083781
processed_ATL03_20200616032058_12460706_006_01.h5,16662.513664877562,-24.48468769049549,Nighttime,
processed_ATL03_20200617150508_12690702_006_01.h5,8234690.942282691,62.90583281198949,Daytime,4508598.150412161
processed_ATL03_20200620031238_13070706_006_01.h5,78310.58091236708,-23.989503564854612,Nighttime,
processed_ATL03_20200621145648_13300702_006_01.h5,2091374.7284403527,60.61197065362462,Daytime,4365319.120481279
processed_ATL03_20200624030418_13680706_006_01.h5,1450.7135090318498,-23.243765727303217,Nighttime,
processed_ATL03_20200625144828_00040802_006_01.h5,6557029.969762381,58.23505245263165,Daytime,4216852.250830274
processed_ATL03_20200628025559_00420806_006_01.h5,110170.96579499701,-22.114351442730076,Nighttime,
processed_ATL03_20200629144009_00650802_006_01.h5,1611271.1367206054,55.93990911496594,Daytime,4073493.195983019
processed_ATL03_20200703143148_01260802_006_01.h5,1517288.3956790732,53.58790397706497,Daytime,3926582.44403482
processed_ATL03_20200707021337_01790806_006_01.h5,45946.903156638844,-19.85720067705427,Nighttime,
processed_ATL03_20200711020519_02400806_006_01.h5,37795.75206357141,-18.332053259394385,Nighttime,
processed_ATL03_20200712134930_02630802_006_01.h5,2751507.4577635746,47.60112804428408,Daytime,3552636.9369194973
processed_ATL03_20200715015701_03010806_006_01.h5,177058.97577769912,-17.245845284873063,Nighttime,
processed_ATL03_20200716134112_03240802_006_01.h5,4225216.975207497,44.99416261486278,Daytime,3389800.876161126
processed_ATL03_20200719014842_03620806_006_01.h5,84038.4457408923,-16.165504271212004,Nighttime,
processed_ATL03_20200720133252_03850802_006_01.h5,1086128.2890839668,42.32534367015925,Daytime,3223101.326206102
